run,LUT,LUT_logic,LUT_mem,FF,CARRY4,DSP,BRAM,period_ns,WNS_ns,setup_fail,WHS_ns,hold_fail,constraints_met,Fmax_MHz
N_3.000ns,5225,5117,108,8983,968,116,0,3.0,-1.075,2309,-0.002,4,no,245.4
N_4.000ns,5190,5082,108,9108,968,116,0,4.0,-0.156,9,0.059,0,no,240.6
